             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          59637967 cclake-hi   Mg-vib   jw2311 PD       0:00      3 (Resources)
          59669018 cclake-hi half-ban   jw2311 PD       0:00      5 (Priority)
          59677265 cclake-hi endo_vdW   jw2311 PD       0:00      3 (Priority)
          59790013 cclake-hi qHP-Si-2    hy382 PD       0:00      3 (Priority)
          59758926 cclake-hi 29-Cu-11    aaz26 PD       0:00      2 (Priority)
          59575820 cclake-hi test164c    hlt45 PD       0:00      3 (Priority)
          59575826 cclake-hi test164c    hlt45 PD       0:00      3 (Priority)
          59575818 cclake-hi test164c    hlt45 PD       0:00      3 (Priority)
          59575816 cclake-hi test164c    hlt45 PD       0:00      3 (Priority)
          59575807 cclake-hi test164c    hlt45 PD       0:00      3 (Priority)
          59575814 cclake-hi test164c    hlt45 PD       0:00      3 (Priority)
          59575689 cclake-hi test164c    hlt45 PD       0:00      3 (Priority)
          59806811 cclake-hi     TB2J    xp223 PD       0:00      2 (Priority)
          59806273 cclake-hi 79-Au-00    aaz26 PD       0:00      2 (Priority)
          59868825 cclake-hi     TB2J    yc573 PD       0:00      1 (Priority)
          59861848 cclake-hi 1D-Si-00    hy382 PD       0:00      3 (Priority)
          59861845 cclake-hi 1D-Si-02    hy382 PD       0:00      3 (Priority)
          59861824 cclake-hi 1D-Si-20    hy382 PD       0:00      3 (Priority)
          59922735 cclake-hi     TB2J    yc573 PD       0:00      1 (Priority)
          59922920 cclake-hi     TB2J    xp223 PD       0:00      2 (Priority)
          59922726 cclake-hi     TB2J    xp223 PD       0:00      1 (Priority)
          59923374 cclake-hi     TB2J    xp223 PD       0:00      2 (Priority)
          59923414 cclake-hi     TB2J    xp223 PD       0:00      1 (Priority)
          59910729 cclake-hi Cu-1D-00    aaz26 PD       0:00      2 (Priority)
          59854081 cclake-hi     TB2J    bx234 PD       0:00      1 (Priority)
 59303186_[73-150] cclake-hi    Bpi16    dw504 PD       0:00      1 (Priority)
  59329400_[1-150] cclake-hi    Bpi20    dw504 PD       0:00      1 (Priority)
          59399264 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399263 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399230 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399228 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399227 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399117 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399115 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399113 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399111 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59399109 cclake-hi      fit dc-robe2 PD       0:00      1 (Priority)
          59700216 cclake-hi CH4_34to dc-yurc1 PD       0:00      1 (Priority)
          59921368 cclake-hi kntest_2    jdt50 PD       0:00      1 (Priority)
          59572879 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572878 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572875 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572874 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572873 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572640 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572639 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572638 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572637 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59572636 cclake-hi   cpujob    apg59 PD       0:00      2 (Priority)
          59576862 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576861 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576860 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576859 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576858 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576857 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576856 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576855 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576854 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576853 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576852 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576851 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576850 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576849 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576848 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576847 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576846 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576845 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576844 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576843 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576842 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576841 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576840 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576839 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
