x, y
9.92019, -1.17797
9.73988, -1.17712
9.60155, -1.19105
9.37481, -1.19487
9.19751, -1.20159
9.03703, -1.21794
8.86004, -1.21358
8.68337, -1.21002
8.51915, -1.23024
8.35588, -1.23561
8.17738, -1.22749
8.01672, -1.256
7.84964, -1.24523
7.73024, -1.2558
7.54678, -1.25409
7.42401, -1.25998
7.23637, -1.26565
7.06519, -1.27263
6.93912, -1.27021
6.81283, -1.29078
6.6787, -1.29471
6.5497, -1.30466
6.39642, -1.30774
6.28218, -1.3097
6.17327, -1.31734
6.04963, -1.32837
5.93623, -1.33593
5.81359, -1.3497
5.67017, -1.35248
5.56074, -1.35625
5.43998, -1.37893
5.33886, -1.38477
5.19427, -1.39874
5.07513, -1.40592
4.96067, -1.40264
4.87317, -1.4142
4.77319, -1.43429
4.68643, -1.44659
4.6024, -1.45726
4.5034, -1.46968
4.42389, -1.48796
4.32357, -1.49099
4.22552, -1.50215
4.14176, -1.52325
4.06454, -1.53303
3.98774, -1.54085
3.90438, -1.56137
3.50234, -1.64428
3.33256, -1.68471
2.86677, -1.833
2.74447, -1.91298
2.59501, -1.97587
2.5454, -2.01447
2.48743, -2.05027
2.00011, -2.61064
3.8084, -1.56814
3.59006, -1.61566
3.13578, -1.74556
2.99756, -1.78691
2.94733, -1.82091
2.81237, -1.8689
2.68111, -1.9377
2.62803, -1.96125
2.44226, -2.07525
2.39955, -2.12355
2.34617, -2.15642
2.30078, -2.20796
2.26458, -2.23701
2.21839, -2.27817
2.19051, -2.31416
2.14732, -2.36042
2.12243, -2.40911
2.08167, -2.46385
2.03832, -2.53522
1.97587, -2.67267
1.89198, -2.94751
3.66707, -1.59182
3.27613, -1.70729
3.0688, -1.75977
1.9491, -2.72609
1.91767, -2.78111
1.87286, -3.09046
1.87312, -3.04459
1.89656, -2.86918
1.86677, -3.15215
1.8607, -3.21385
1.8607, -3.27554
1.8607, -3.33723
1.861, -3.40692
1.85465, -3.46062
1.85465, -3.52231
1.85465, -3.584
1.84863, -3.6457
1.84863, -3.70739
1.84863, -3.76908
1.84863, -3.83078
1.84863, -3.89247
1.84262, -3.95416
1.84262, -4.01586
1.84338, -4.0712
1.84262, -4.13924
1.84262, -4.20094
1.83663, -4.26263
1.83663, -4.32432
1.83663, -4.38602
1.83663, -4.44771
1.83663, -4.5094
1.83663, -4.5711
1.83663, -4.63279
1.83066, -4.69448
1.83066, -4.75618
1.83066, -4.81787
1.83066, -4.87956
1.83066, -4.94125
1.83066, -5.00295
1.83075, -5.0437
1.8247, -5.12633
1.8247, -5.18803
1.8247, -5.24972
1.8247, -5.31141
1.81877, -5.37311
1.81877, -5.4348
1.81877, -5.49649
1.81877, -5.55819
1.81877, -5.61988
1.81286, -5.68157
1.81158, -5.7353
1.80697, -5.80496
1.80697, -5.86665
1.77779, -5.92835
1.74339, -5.93863
1.70966, -5.93863
1.67659, -5.93863
1.64415, -5.95919
1.61234, -5.94891
1.58115, -5.94891
1.55056, -5.96947
1.52056, -5.95919
1.49114, -5.96947
1.47119, -5.98774
1.43798, -5.98674
1.40778, -5.97903
3.74974, -1.58869
3.42098, -1.67071
3.195, -1.71962
1.81286, -5.92835
1.37905, -5.97976
